Ticker,Current_Price,Prev_Close,Change_%,Growth_Probability_%,Momentum_5d_%,RSI,vs_SMA20_%,Volatility_%
GOOGL,316.75,317.08,-0.1,100.0,-0.21,67.8,3.71,2.08
AMZN,231.29,227.92,1.48,100.0,0.95,61.7,0.64,2.11
V,327.95,326.5,0.44,100.0,0.26,56.3,-0.46,1.09
DIS,107.25,107.02,0.21,100.0,1.69,57.5,1.33,1.44
DLR,162.84,162.76,0.05,100.0,1.13,57.9,1.94,1.58
SCHW,94.39,94.16,0.24,100.0,-0.67,58.7,1.44,1.37
ORCL,220.63,221.53,-0.41,100.0,2.94,46.2,3.79,5.3
PEP,147.88,144.64,2.24,100.0,1.64,57.9,1.52,1.24
AVGO,402.82,406.29,-0.85,100.0,5.72,68.8,8.06,3.15
BA,200.75,200.37,0.19,100.0,-0.55,64.3,4.18,2.12
CSCO,79.32,79.51,-0.23,100.0,2.01,54.9,2.75,1.32
CRM,260.12,261.02,-0.34,100.0,5.12,80.0,8.48,2.14
ADBE,342.51,344.32,-0.53,100.0,4.19,67.7,4.5,1.76
ROKU,103.6,105.56,-1.86,100.0,9.58,67.6,6.28,2.49
SIRI,21.85,21.92,-0.31,100.0,1.21,62.5,3.03,2.22
KLAC,1232.85,1225.61,0.59,100.0,2.05,63.1,5.4,2.48
MU,253.65,252.42,0.49,100.0,11.91,63.3,8.4,3.84
LRCX,164.84,165.81,-0.59,100.0,4.93,68.4,7.16,2.96
DOCU,68.89,69.39,-0.72,100.0,-3.11,59.7,2.07,2.75
RBLX,97.72,99.0,-1.29,100.0,2.64,50.7,1.58,3.1
PINS,27.11,27.18,-0.26,100.0,-0.44,66.9,3.12,3.42
CCI,90.48,90.2,0.31,100.0,2.11,47.4,0.34,1.29
NOW,846.37,854.91,-1.0,100.0,0.89,61.9,1.78,1.56
DASH,224.92,229.99,-2.2,100.0,1.69,66.7,8.38,3.19
COIN,274.58,277.36,-1.0,100.0,0.19,58.2,2.64,3.89
NET,205.87,208.93,-1.46,100.0,0.84,59.8,1.92,2.89
ASML,1108.24,1111.44,-0.29,100.0,-0.17,60.8,5.28,2.29
ZM,88.09,87.63,0.52,100.0,1.74,68.9,4.72,1.91
MS,178.9,178.83,0.04,95.0,2.29,80.5,6.46,1.42
ABNB,124.95,125.39,-0.35,95.0,3.42,70.2,5.01,1.47
RIOT,15.36,15.51,-0.97,95.0,-1.48,64.8,5.2,5.34
INTC,39.26,40.5,-3.07,95.0,-3.07,60.7,3.33,4.34
MCHP,66.69,66.85,-0.24,95.0,3.04,88.0,18.25,2.82
ENPH,31.39,31.55,-0.52,95.0,2.04,81.1,8.64,3.8
TSM,304.36,303.41,0.31,95.0,3.9,72.3,5.39,2.16
GS,878.99,876.58,0.27,95.0,4.91,82.0,7.97,1.52
INTC,39.13,40.5,-3.38,95.0,-3.38,60.3,3.02,4.35
PLTR,186.52,181.84,2.57,95.0,4.83,73.6,8.8,3.05
OKTA,87.68,87.79,-0.12,95.0,2.08,77.3,5.89,1.89
AAPL,277.35,277.18,0.06,90.0,-1.2,64.0,0.58,1.39
NVDA,184.89,184.97,-0.04,90.0,0.82,47.8,0.91,2.26
CMCSA,26.88,26.79,0.34,90.0,-1.18,50.1,-0.64,1.38
AFRM,68.49,68.42,0.1,90.0,-0.29,57.9,-0.14,3.82
NVDA,184.8,184.97,-0.09,90.0,0.77,47.7,0.86,2.26
MA,541.96,537.55,0.82,90.0,-0.06,57.6,-0.16,1.13
PFE,25.32,25.33,-0.05,90.0,-1.49,55.4,-0.34,1.81
CRWD,515.02,517.98,-0.57,90.0,0.37,47.6,-0.16,2.47
AMT,180.15,179.55,0.34,90.0,0.74,49.2,0.09,1.27
MARA,12.02,12.25,-1.88,85.0,-3.38,58.1,2.0,5.12
CDNS,337.49,335.07,0.72,85.0,0.06,78.4,6.38,2.07
WMT,114.88,115.06,-0.16,85.0,0.03,79.9,5.96,1.41
QCOM,176.72,176.0,0.41,85.0,1.36,70.4,4.39,2.36
QCOM,176.86,176.0,0.49,85.0,1.44,70.6,4.47,2.36
AMD,221.12,221.62,-0.23,85.0,2.38,48.2,-0.87,4.55
NXPI,226.66,228.05,-0.61,85.0,0.22,82.2,10.6,2.33
JNJ,201.38,199.96,0.71,80.0,-0.54,50.5,-0.16,0.86
MRVL,91.48,88.9,2.9,80.0,-6.83,61.5,4.02,3.42
TXN,178.82,179.52,-0.39,75.0,-0.72,75.9,6.71,1.89
IBM,309.08,310.48,-0.45,75.0,0.35,76.0,1.94,1.78
META,648.87,656.96,-1.23,75.0,-1.91,70.3,3.26,2.04
TSLA,445.98,445.17,0.18,75.0,-1.88,70.9,5.21,3.08
PLD,128.22,127.45,0.6,75.0,0.03,76.8,1.5,1.32
BLK,1073.35,1071.31,0.19,75.0,0.28,70.7,2.93,1.4
DKNG,34.9,34.94,-0.13,75.0,-0.84,76.1,9.04,3.25
AMAT,268.94,267.14,0.67,75.0,-0.19,75.2,9.4,2.65
SPOT,589.46,589.67,-0.04,75.0,5.08,38.3,-1.34,1.75
SNPS,465.64,465.85,-0.05,70.0,0.41,91.9,10.44,5.41
PYPL,60.35,60.78,-0.72,65.0,-2.24,51.0,-2.3,2.28
HD,344.46,345.27,-0.23,65.0,-1.91,59.3,-1.4,1.39
MRK,96.7,96.89,-0.2,65.0,-4.15,53.7,-1.73,1.99
PSA,266.6,264.71,0.71,65.0,-3.63,50.6,-1.79,1.22
AXP,366.78,363.91,0.79,65.0,-1.18,71.5,2.03,1.63
EQIX,742.76,740.67,0.28,65.0,2.3,38.3,-1.54,1.31
LYFT,21.44,21.78,-1.56,65.0,-4.8,51.7,-1.07,3.66
AMD,220.65,221.62,-0.44,60.0,2.16,47.9,-1.07,4.55
RIVN,17.89,17.71,1.02,60.0,-0.94,87.8,9.08,4.26
UPST,45.91,46.5,-1.27,60.0,-2.59,72.4,10.25,4.26
